name,date_for_local_environment,lon,lat,basin
1979031S12056,2/02/1979 12:00,59,-18,SI
1979126N04148,10/05/1979 0:00,131,8.5,WP
1979137N19116,20/05/1979 6:00,112.1,15.5,WP
1979174N07143,28/06/1979 6:00,139.3,10,WP
1979205N10148,26/07/1979 0:00,142.6,11.1,WP
1979242N22143,30/08/1979 12:00,138.1,24,WP
1979243N19154,1/09/1979 0:00,149.5,19,WP
1979254N10140,13/09/1979 6:00,137.5,12,WP
1979258N10120,16/09/1979 12:00,116.9,12.9,WP
1979271N13113,1/10/1979 18:00,119,15.5,WP
1980003S15137,6/01/1980 0:00,142.8,-18.8,SP
1980052S16155,25/02/1980 12:00,152.6,-23.3,SP
1980126N08150,8/05/1980 6:00,141.9,8.2,WP
1980140N16116,19/05/1980 12:00,114,15,WP
1980245N16322,4/09/1980 0:00,-61,21,NA
1980246N05151,4/09/1980 0:00,147,8.8,WP
1980282N19162,10/10/1980 6:00,154.4,19.7,WP
1981047S18181,16/02/1981 0:00,-179,-18,SP
1981056S14141,1/03/1981 0:00,156.1,-22,SP
1981086S16183,27/03/1981 0:00,-177.5,-16,SP
1981176N08150,27/06/1981 12:00,142.2,13.5,WP
1981214N13113,2/08/1981 0:00,114,14,WP
1981226N16119,15/08/1981 18:00,114,16,WP
1981283N07132,10/10/1981 18:00,130,9,WP
1981324N08158,20/11/1981 0:00,158,8,WP
1982058S10185,25/02/1982 12:00,-176.9,-13.7,SP
1982073N07153,13/03/1982 6:00,160.2,2.2,WP
1982136N08140,15/05/1982 0:00,143.8,10.7,WP
1982176N18114,25/06/1982 6:00,115,18,WP
1982190N09148,11/07/1982 0:00,140,9.5,WP
1982207N09243,23/07/1982 18:00,-100.5,6.9,EP
1982210N11245,26/07/1982 12:00,-106.3,22.1,EP
1982229N09154,16/08/1982 18:00,149.1,8.9,WP
1982241N14338,25/08/1982 18:00,-20.7,14.1,NA
1982259N16218,13/09/1982 0:00,-135.3,13.2,EP
1982262N12270,23/09/1982 0:00,-100.5,13.6,EP
1982272N11156,29/09/1982 6:00,158.2,7.9,WP
1982274N13265,28/09/1982 0:00,-87.2,7.4,EP
1982286N09170,13/10/1982 0:00,165.1,3.1,WP
1982287N09269,11/10/1982 6:00,-92.3,6.4,EP
1982293N09257,19/10/1982 12:00,-100.3,8.9,EP
1982311S09181,7/11/1982 12:00,177.5,-9.6,SP
1983019S14176,20/01/1983 12:00,173.3,-14.6,SP
1983054S15179,22/02/1983 0:00,169.5,-10.2,SP
1983183N11251,1/07/1983 12:00,-112.2,10.2,EP
1983201N08144,19/07/1983 18:00,143,9.3,WP
1983220N16111,10/08/1983 12:00,115,15,WP
1983229N15140,17/08/1983 6:00,139.9,14.6,WP
1983239N10183,28/08/1983 6:00,176,12,WP
1983279N17148,5/10/1983 0:00,156.8,16.8,WP
1983283N13230,7/10/1983 0:00,-115.5,9.2,EP
1983285N09260,10/10/1983 0:00,-96.7,8.2,EP
1983319N05157,25/11/1983 0:00,137,9,WP
1983334N08146,30/11/1983 0:00,146,8,WP
1983347N06154,13/12/1983 0:00,150.3,7.4,WP
1983353S08070,18/12/1983 0:00,75.4,-9.8,SI
1984020S11077,19/01/1984 0:00,73.6,-12,SI
1984022S08086,24/01/1984 12:00,90.5,-14.1,SI
1984035S15152,5/02/1984 0:00,154.8,-16.2,SP
1984038S12073,10/02/1984 18:00,73.2,-13.9,SI
1984076S13173,14/03/1984 12:00,171.8,-9.9,SP
1984180N10258,26/06/1984 12:00,-102,16.5,EP
1984184N06139,5/07/1984 0:00,125.5,13.5,WP
1984204N21162,21/07/1984 18:00,163.1,22.5,WP
1984237N11230,26/08/1984 12:00,-141.3,11.2,EP
1984238N18137,25/08/1984 0:00,125,16.4,WP
1984260N14339,13/09/1984 18:00,-15.1,9.9,NA
1984261N29295,15/09/1984 18:00,-61.3,26.2,NA
1984267N18120,22/09/1984 0:00,125.7,19.4,WP
1984270N13262,25/09/1984 18:00,-102.7,11.8,EP
1984283N09139,8/10/1984 6:00,131.9,4.7,WP
1984284N11116,9/10/1984 6:00,110.9,2.1,WP
1984305N13262,29/10/1984 0:00,-87.9,13.2,EP
1984325S15052,17/11/1984 18:00,54.6,-7.9,SI
1984361S12146,26/12/1984 0:00,148.5,-14.5,SP
1985005N04157,4/01/1985 6:00,155.6,6.8,WP
1985005N08133,2/01/1985 12:00,147.8,9.5,WP
1985014S16151,14/01/1985 0:00,151.6,-16.2,SP
1985025S09073,25/01/1985 0:00,63.9,-8.9,SI
1985025S15203,23/01/1985 12:00,-149.1,-18.5,SP
1985026S16126,26/01/1985 6:00,125.9,-16.4,SI
1985060S11112,2/03/1985 18:00,106,-10.1,SI
1985070S17175,10/03/1985 0:00,-178.2,-17.3,SP
1985159N09241,7/06/1985 0:00,-117.3,8,EP
1985166N19111,14/06/1985 6:00,109.2,16.9,WP
1985189N12260,5/07/1985 18:00,-94.9,9.7,EP
1985197N29296,13/07/1985 18:00,-59.2,25.9,NA
1985201N12256,18/07/1985 18:00,-99.4,9,EP
1985212N22148,31/07/1985 6:00,146,21.5,WP
1985219N14254,4/08/1985 12:00,-105.7,12.3,EP
1985224N19279,11/08/1985 0:00,-76.1,17.6,NA
1985227N16149,14/08/1985 18:00,148.3,13.9,WP
1985237N21130,25/08/1985 0:00,131.4,19.3,WP
1985240N16256,28/08/1985 0:00,-105,15.5,EP
1985256N13146,12/09/1985 6:00,139.7,10.4,WP
1985261N13243,17/09/1985 0:00,-115.7,12.4,EP
1985265N30286,20/09/1985 6:00,-73.5,27.2,NA
1985268N16126,25/09/1985 0:00,129,11,WP
1985284N05159,10/10/1985 18:00,160.3,3,WP
1985294N10122,22/10/1985 0:00,128,12,WP
1985298N12249,24/10/1985 6:00,-119.2,13.9,EP
1985329S09104,25/11/1985 6:00,107.8,-1.1,SI
1986007S09098,6/01/1986 18:00,93.7,-3.8,SI
1986018S14108,16/01/1986 0:00,110.4,-15.5,SI
1986021S16140,20/01/1986 12:00,140.2,-13.4,SP
1986029N04152,29/01/1986 12:00,150.6,3.5,WP
1986029S14069,28/01/1986 6:00,74.7,-10,SI
1986048S16116,15/02/1986 12:00,115.5,-7.6,SI
1986056S09130,24/02/1986 0:00,130.1,-8.5,SI
1986062S15150,3/03/1986 12:00,150,-15.5,SP
1986070S13082,10/03/1986 6:00,75.8,-15.4,SI
1986085S13091,24/03/1986 12:00,97.5,-12.5,SI
1986111S08156,20/04/1986 12:00,159.6,5.2,SP
1986134N08149,13/05/1986 18:00,150.4,8.1,WP
1986135S07160,14/05/1986 6:00,161.3,-7.5,SP
1986136N18114,20/05/1986 12:00,111,20.4,WP
1986156N26284,3/06/1986 0:00,-72.1,23,NA
1986172N04161,26/06/1986 0:00,141.6,13.4,WP
1986179N11175,30/06/1986 12:00,162,13,WP
1986206N11265,25/07/1986 6:00,-97.3,11.7,EP
1986221N17163,10/08/1986 6:00,160.2,17.3,WP
1986225N17134,12/08/1986 18:00,129.7,10.4,WP
1986228N19120,15/08/1986 6:00,120.4,13.2,WP
1986240N24160,30/08/1986 6:00,155.7,22.7,WP
1986241N18248,27/08/1986 18:00,-112.8,15.1,EP
1986254N22309,8/09/1986 0:00,-35.3,16.9,NA
1986259N07170,16/09/1986 6:00,166.1,5.7,WP
1986264N12221,18/09/1986 12:00,-138.8,8.7,EP
1986275N10134,6/10/1986 0:00,121,15,WP
1986323N23297,16/11/1986 6:00,-64.6,22.4,NA
1986325S10171,20/11/1986 6:00,173.1,-9.4,SP
1986330N05173,25/11/1986 6:00,-173.4,7,WP
