name,date_for_local_environment,lon,lat,basin
1979031S12056,3/02/1979 0:00,59.6,-19.4,SI
1979126N04148,10/05/1979 12:00,128.6,8.9,WP
1979137N19116,20/05/1979 18:00,113.1,17,WP
1979171N10315,19/06/1979 12:00,-45,10,NA
1979174N07143,28/06/1979 18:00,138.8,12.5,WP
1979205N10148,26/07/1979 12:00,140.8,12,WP
1979242N22143,31/08/1979 0:00,137.6,24.5,WP
1979243N19154,1/09/1979 12:00,150.5,20.3,WP
1979254N10140,13/09/1979 18:00,136.5,12,WP
1979258N10120,17/09/1979 0:00,115.7,14,WP
1979271N13113,2/10/1979 6:00,120.5,16.2,WP
1980003S15137,6/01/1980 12:00,145.6,-19.6,SP
1980052S16155,26/02/1980 0:00,152.5,-23.3,SP
1980126N08150,8/05/1980 18:00,140.8,7.9,WP
1980140N16116,20/05/1980 0:00,114,15,WP
1980171N06142,22/06/1980 0:00,130.5,9,WP
1980197N07154,15/07/1980 18:00,150,9.8,WP
1980200N13249,18/07/1980 0:00,-111,13.1,EP
1980245N16322,4/09/1980 12:00,-63.6,23.4,NA
1980246N05151,4/09/1980 12:00,145.2,9.7,WP
1980269N15147,25/09/1980 6:00,147,15,WP
1980282N19162,10/10/1980 18:00,152.2,21.1,WP
1981039S09178,8/02/1981 0:00,178,-9,SP
1981047S18181,16/02/1981 12:00,-176.7,-19.7,SP
1981056S14141,1/03/1981 12:00,157,-22.1,SP
1981086S16183,27/03/1981 12:00,-177.1,-16.9,SP
1981176N08150,28/06/1981 0:00,138.9,13.5,WP
1981214N13113,2/08/1981 12:00,114,14,WP
1981226N16119,16/08/1981 6:00,115,16,WP
1981256N10150,13/09/1981 12:00,145.6,11.4,WP
1981283N07132,11/10/1981 6:00,128,9,WP
1981324N08158,20/11/1981 12:00,156,8,WP
1982024S18166,23/01/1982 0:00,164,-18.5,SP
1982058S10185,26/02/1982 0:00,-176.4,-10,SP
1982073N07153,13/03/1982 18:00,155.4,4.1,WP
1982087N04157,27/03/1982 0:00,147,1.8,WP
1982136N08140,15/05/1982 12:00,139,10.8,WP
1982176N18114,25/06/1982 18:00,116,18,WP
1982188N09262,5/07/1982 6:00,-102.5,6.7,EP
1982190N09148,11/07/1982 12:00,138,11,WP
1982199N11257,15/07/1982 12:00,-95.6,13.2,EP
1982202N12148,19/07/1982 18:00,130.8,6.7,WP
1982207N09243,24/07/1982 6:00,-104.8,7.9,EP
1982210N11245,27/07/1982 0:00,-105.2,19.9,EP
1982221N10250,7/08/1982 0:00,-109.8,7.2,EP
1982227N09140,20/08/1982 0:00,124,12,WP
1982229N09154,17/08/1982 6:00,152.9,8.4,WP
1982241N14338,26/08/1982 6:00,-17,12.2,NA
1982252N26269,8/09/1982 0:00,-84.6,23.7,NA
1982253N10250,8/09/1982 12:00,-113.2,8.3,EP
1982259N15202,13/09/1982 12:00,-155.1,9,EP
1982259N16218,13/09/1982 12:00,-137.7,12.9,EP
1982262N12270,23/09/1982 12:00,-102.4,13.4,EP
1982274N13265,28/09/1982 12:00,-88.5,8,EP
1982287N09269,11/10/1982 18:00,-91.7,4.8,EP
1982293N09257,20/10/1982 0:00,-105,9.3,EP
1982304S10171,30/10/1982 12:00,170.3,-6.4,SP
1982311S09181,8/11/1982 0:00,176.6,-9.7,SP
1983019S14176,21/01/1983 0:00,172.7,-14.2,SP
1983054S15179,22/02/1983 12:00,169.7,-10.6,SP
1983086S08204,26/03/1983 12:00,-158.9,-8,SP
1983141N07269,19/05/1983 6:00,-91.2,12.9,EP
1983183N11251,2/07/1983 0:00,-110.8,9.3,EP
1983186N04153,10/07/1983 6:00,140,9,WP
1983198N18255,17/07/1983 0:00,-104.9,18.3,EP
1983201N08144,20/07/1983 6:00,143.8,6.9,WP
1983220N16111,11/08/1983 0:00,115.1,15.7,WP
1983221N13254,6/08/1983 12:00,-99,7.6,EP
1983236N26284,21/08/1983 18:00,-68.1,22,NA
1983239N10183,28/08/1983 18:00,173.5,12,WP
1983255N12261,10/09/1983 0:00,-94.3,11.5,EP
1983279N17148,5/10/1983 12:00,157.4,18.5,WP
1983283N13230,7/10/1983 12:00,-121.7,10.9,EP
1983285N09260,10/10/1983 12:00,-94.9,8.3,EP
1983287N09164,19/10/1983 12:00,130.3,14.2,WP
1983319N05157,25/11/1983 12:00,135,10,WP
1983334N08146,30/11/1983 12:00,143.5,9.3,WP
1983339S10065,5/12/1983 0:00,65.3,-9.9,SI
1983353S08070,18/12/1983 12:00,74.7,-8.3,SI
1984020S11077,19/01/1984 12:00,74.2,-11.7,SI
1984022S08086,25/01/1984 0:00,87.8,-14.1,SI
1984035S15152,5/02/1984 12:00,156,-17.6,SP
1984038S12073,11/02/1984 6:00,73.6,-14.4,SI
1984051S20163,20/02/1984 0:00,163,-19.5,SP
1984076S13173,15/03/1984 0:00,179.1,-12.7,SP
1984180N10258,27/06/1984 0:00,-101.1,8.4,EP
1984184N06139,5/07/1984 12:00,123.5,15,WP
1984214N12143,3/08/1984 18:00,132.3,12.1,WP
1984227N18118,13/08/1984 12:00,120,10.7,WP
1984230N12226,14/08/1984 12:00,-126.6,13.2,EP
1984237N11230,27/08/1984 0:00,-142.8,11.5,EP
1984260N14339,14/09/1984 6:00,-16.7,10.4,NA
1984261N29295,16/09/1984 6:00,-62.1,25.3,NA
1984267N18120,22/09/1984 12:00,123.3,19.2,WP
1984270N13262,26/09/1984 6:00,-98.2,12.8,EP
1984270N22147,25/09/1984 18:00,143.7,18.3,WP
1984281N13146,8/10/1984 18:00,149,16,WP
1984283N09139,8/10/1984 18:00,132.6,3.2,WP
1984284N11116,9/10/1984 18:00,111.5,3.4,WP
1984305N13262,29/10/1984 12:00,-88.3,16.2,EP
1984311N15291,4/11/1984 6:00,-65.3,17.3,NA
1984325S15052,18/11/1984 6:00,54,-9.9,SI
1984337S11082,1/12/1984 12:00,82.6,-11.1,SI
1984355S16129,19/12/1984 18:00,129,-16.4,SI
1984361S12146,26/12/1984 12:00,149.7,-15.1,SP
1985005N04157,4/01/1985 18:00,153.8,5,WP
1985005N08133,3/01/1985 0:00,146.7,10,WP
1985014S16151,14/01/1985 12:00,150.6,-16.5,SP
1985025S09073,25/01/1985 12:00,65.4,-8.5,SI
1985025S15203,24/01/1985 0:00,-154,-17.6,SP
1985026S16126,26/01/1985 18:00,125.4,-16.7,SI
1985060S11112,3/03/1985 6:00,104.4,-10.1,SI
1985065S09118,5/03/1985 0:00,118.2,-5.7,SI
1985070S17175,10/03/1985 12:00,-179,-16.7,SP
1985159N09241,7/06/1985 12:00,-118.9,7.7,EP
1985166N19111,14/06/1985 18:00,111,19,WP
1985177N10258,25/06/1985 6:00,-98.6,15.5,EP
1985189N12260,6/07/1985 6:00,-92.2,6.7,EP
1985197N29296,14/07/1985 6:00,-59.3,26.6,NA
1985201N12256,19/07/1985 6:00,-101.7,8.1,EP
1985210N14257,27/07/1985 6:00,-101.2,17,EP
1985212N22148,31/07/1985 18:00,144,20.5,WP
1985219N14254,5/08/1985 0:00,-108,10.3,EP
1985220N18128,9/08/1985 6:00,131,21,WP
1985224N19279,11/08/1985 12:00,-75.8,17.5,NA
1985227N16149,15/08/1985 6:00,148,16.7,WP
1985240N16256,28/08/1985 12:00,-106.1,13.9,EP
1985256N13146,12/09/1985 18:00,139.7,10.4,WP
1985260N13336,15/09/1985 0:00,-16.9,14.2,NA
1985261N13243,17/09/1985 12:00,-116.5,11.8,EP
1985265N30286,20/09/1985 18:00,-70.4,28.9,NA
1985268N16126,25/09/1985 12:00,126.5,13,WP
1985284N05159,11/10/1985 6:00,161.7,6.9,WP
1985294N10122,22/10/1985 12:00,127.3,12.4,WP
1985298N12249,24/10/1985 18:00,-116.4,14.2,EP
1985329S09104,25/11/1985 18:00,102.2,-6.6,SI
1986007S09098,7/01/1986 6:00,97.6,-8.6,SI
1986018S14108,16/01/1986 12:00,109.4,-15.3,SI
1986021S16140,21/01/1986 0:00,139.5,-16.5,SP
1986027S13145,27/01/1986 6:00,144.8,-12.9,SP
1986029N04152,30/01/1986 0:00,150,3.5,WP
1986029S14069,28/01/1986 18:00,70.9,-13,SI
1986036S16187,3/02/1986 12:00,-178,-11.1,SP
1986038S13158,6/02/1986 6:00,164.4,-15.8,SP
1986048S16116,16/02/1986 0:00,115,-10.6,SI
1986052S13114,20/02/1986 6:00,103.9,-11.5,SI
1986056S09130,24/02/1986 12:00,129.5,-9.9,SI
1986062S15150,4/03/1986 0:00,150,-15.5,SP
1986067S11080,6/03/1986 18:00,83,-10.3,SI
1986070S13082,10/03/1986 18:00,79.3,-11.4,SI
1986085S13091,25/03/1986 0:00,91.7,-13.8,SI
1986095S11105,4/04/1986 18:00,105.2,-11.3,SI
1986111S08156,21/04/1986 0:00,156,-8,SP
1986112N02152,24/04/1986 6:00,144.5,4.8,WP
1986124S05090,3/05/1986 6:00,82.9,-5.1,SI
1986134N08149,14/05/1986 6:00,150,8.3,WP
1986135S07160,14/05/1986 18:00,164,-10.6,SP
1986136N18114,21/05/1986 0:00,112,20.5,WP
1986142N13253,21/05/1986 18:00,-103.1,9.9,EP
1986156N26284,3/06/1986 12:00,-70.4,22,NA
1986172N04161,26/06/1986 12:00,140.8,13.7,WP
1986179N11175,1/07/1986 0:00,160,13,WP
1986200N17111,18/07/1986 0:00,114.2,12.2,WP
1986206N11265,25/07/1986 18:00,-100.1,12.1,EP
