name,date_for_local_environment,lon,lat,basin
1978361N02180,1/01/1979 12:00,170,4,WP
1979002S04179,3/01/1979 12:00,174.5,-7,SP
1979003S10052,3/01/1979 18:00,52.5,-10.2,SI
1979027S15167,30/01/1979 12:00,168.5,-14.5,SP
1979031S12056,5/02/1979 0:00,58.1,-21.1,SI
1979041S19051,11/02/1979 18:00,55.8,-17,SI
1979051S16187,21/02/1979 0:00,-174,-18,SP
1979077N07150,20/03/1979 12:00,139.8,10.8,WP
1979083S15184,24/03/1979 12:00,-176.5,-15,SP
1979098N02144,11/04/1979 12:00,138.5,6.7,WP
1979126N04148,12/05/1979 12:00,120.2,11,WP
1979137N19116,22/05/1979 18:00,122.3,21.7,WP
1979152N11265,1/06/1979 18:00,-98,11.8,EP
1979171N10315,21/06/1979 12:00,-52.7,13.5,NA
1979172N10257,21/06/1979 12:00,-104.2,9.3,EP
1979174N07143,30/06/1979 18:00,132.6,13.3,WP
1979180N03155,2/07/1979 12:00,145.6,7.8,WP
1979191N22264,9/07/1979 18:00,-95.3,22.5,NA
1979196N17257,14/07/1979 12:00,-103.5,17,EP
1979197N13314,17/07/1979 0:00,-57.2,17,NA
1979198N11256,17/07/1979 6:00,-103.7,10.5,EP
1979205N10148,28/07/1979 12:00,136.6,16.5,WP
1979206N19132,26/07/1979 12:00,129.2,20,WP
1979219N15138,8/08/1979 12:00,137,17,WP
1979228N11151,16/08/1979 12:00,145.7,13,WP
1979230N11246,17/08/1979 12:00,-113.8,11.2,EP
1979233N14258,20/08/1979 18:00,-101.8,13.9,EP
1979238N12324,25/08/1979 18:00,-38.2,11.7,NA
1979241N11335,30/08/1979 0:00,-32.5,11.3,NA
1979242N22143,2/09/1979 0:00,131.8,25.7,WP
1979242N26271,30/08/1979 6:00,-89.9,26,NA
1979243N19154,3/09/1979 12:00,150.5,23.3,WP
1979248N16339,6/09/1979 0:00,-30.3,20.5,NA
1979252N16259,8/09/1979 18:00,-101,16,EP
1979254N10140,15/09/1979 18:00,129.6,13.2,WP
1979258N10120,19/09/1979 0:00,112,18.6,WP
1979258N20273,16/09/1979 0:00,-89.7,22.5,NA
1979262N15149,22/09/1979 18:00,137.2,12.2,WP
1979266N18150,25/09/1979 0:00,144,19,WP
1979271N13113,4/10/1979 6:00,119.8,14.1,WP
1979273N11145,3/10/1979 12:00,137,19,WP
1979275N05159,5/10/1979 18:00,153.7,6.9,WP
1979277N13256,4/10/1979 18:00,-108,13.8,EP
1979297N12265,24/10/1979 0:00,-96.2,11.6,EP
1979300N04166,1/11/1979 18:00,147.1,6.6,WP
1979311N10142,8/11/1979 12:00,132.2,15.3,WP
1979319N09272,15/11/1979 12:00,-89,8.5,EP
1979333N07169,1/12/1979 12:00,161.7,5.8,WP
1979344S12170,10/12/1979 12:00,177,-13,SP
1979350N07152,20/12/1979 18:00,130,12,WP
1980001S13173,2/01/1980 0:00,173,-11,SP
1980033S12161,3/02/1980 0:00,168.4,-14,SP
1980052S16155,28/02/1980 0:00,157.7,-28.5,SP
