name,date_for_local_environment,lon,lat,basin
1979027S15167,29/01/1979 12:00,167.6,-13.6,SP
1979031S12056,4/02/1979 0:00,58.8,-21.8,SI
1979041S19051,10/02/1979 18:00,50.5,-17.1,SI
1979077N07150,19/03/1979 12:00,143,9,WP
1979126N04148,11/05/1979 12:00,123.5,9.6,WP
1979137N19116,21/05/1979 18:00,116.4,20.7,WP
1979152N11265,31/05/1979 18:00,-95.5,11,EP
1979171N10315,20/06/1979 12:00,-49.2,11.3,NA
1979174N07143,29/06/1979 18:00,133.9,13.1,WP
1979180N03155,1/07/1979 12:00,150,6.5,WP
1979197N13314,16/07/1979 0:00,-50.4,13.4,NA
1979205N10148,27/07/1979 12:00,138.6,14.5,WP
1979206N19132,25/07/1979 12:00,131.3,17.7,WP
1979219N15138,7/08/1979 12:00,137.8,15.5,WP
1979241N11335,29/08/1979 0:00,-25.5,11,NA
1979242N22143,1/09/1979 0:00,134.3,25,WP
1979243N19154,2/09/1979 12:00,151.8,22.3,WP
1979248N16339,5/09/1979 0:00,-24,17.5,NA
1979254N10140,14/09/1979 18:00,133.1,12.1,WP
1979258N10120,18/09/1979 0:00,114.1,17,WP
1979258N20273,15/09/1979 0:00,-86.8,20.3,NA
1979262N15149,21/09/1979 18:00,139.4,12,WP
1979271N13113,3/10/1979 6:00,120.8,14.7,WP
1979275N05159,4/10/1979 18:00,153.9,5.6,WP
1979277N13256,3/10/1979 18:00,-104,13,EP
1979311N10142,7/11/1979 12:00,139,13.3,WP
1979344S12170,9/12/1979 12:00,170,-12,SP
1980003S15137,7/01/1980 12:00,153.6,-23.4,SP
1980052S16155,27/02/1980 0:00,153.6,-24.6,SP
1980069S12161,10/03/1980 12:00,160,-14.6,SP
1980073S09133,14/03/1980 6:00,134,-9.9,SP
1980081S12170,22/03/1980 0:00,172.6,-12.3,SP
1980092S15183,2/04/1980 0:00,-179.5,-14.3,SP
1980126N08150,9/05/1980 18:00,136.8,9.2,WP
1980137N04158,18/05/1980 18:00,154.8,6.4,WP
1980140N16116,21/05/1980 0:00,115,14.7,WP
1980171N06142,23/06/1980 0:00,126.5,11,WP
1980183N13250,30/06/1980 18:00,-110.4,13.2,EP
1980187N09146,5/07/1980 12:00,142,11.7,WP
1980197N07154,16/07/1980 18:00,145.3,11,WP
1980200N13249,19/07/1980 0:00,-112.3,14.6,EP
1980201N08155,20/07/1980 6:00,148.6,8.6,WP
1980208N23153,28/07/1980 6:00,148.3,22.9,WP
1980214N11330,31/07/1980 12:00,-30,11,NA
1980236N15144,23/08/1980 18:00,139.6,16.6,WP
1980245N16322,5/09/1980 12:00,-68.6,28.5,NA
1980246N05151,5/09/1980 12:00,144,13.5,WP
1980254N14112,12/09/1980 12:00,115,19,WP
1980269N15147,26/09/1980 6:00,143.7,16.3,WP
1980270N13165,27/09/1980 6:00,160.2,12.2,WP
1980282N19162,11/10/1980 18:00,147.9,23.2,WP
1980300N08137,28/10/1980 12:00,126,12.1,WP
1980313N14277,8/11/1980 0:00,-83,14.7,NA
1980332S16214,27/11/1980 0:00,-146.3,-16.2,SP
1981011S12185,11/01/1981 0:00,-175,-11.8,SP
1981039S09178,9/02/1981 0:00,172.5,-12,SP
1981047S18181,17/02/1981 12:00,-170,-20.1,SP
1981051S14181,20/02/1981 0:00,-179,-14.5,SP
1981056S14141,2/03/1981 12:00,158.3,-19.8,SP
1981068S19199,8/03/1981 12:00,-161,-19,SP
1981077S13198,18/03/1981 0:00,-161,-13.8,SP
1981086S16183,28/03/1981 12:00,-176.1,-18.8,SP
1981118N04164,29/04/1981 0:00,162,6,WP
1981166N11135,16/06/1981 0:00,131.6,12.8,WP
1981176N08150,29/06/1981 0:00,132,13.5,WP
1981198N18253,16/07/1981 18:00,-106.6,17.5,EP
1981202N24123,21/07/1981 0:00,123,25,WP
1981207N22150,26/07/1981 18:00,148.3,22.7,WP
1981212N17142,31/07/1981 0:00,142,18,WP
1981214N13113,3/08/1981 12:00,115,15,WP
1981218N20168,6/08/1981 12:00,164,21,WP
1981225N16249,13/08/1981 6:00,-111.4,16.2,EP
1981226N16119,17/08/1981 6:00,113,18,WP
1981226N17142,15/08/1981 18:00,153.7,23.8,WP
1981237N16148,25/08/1981 12:00,146.8,16.1,WP
1981245N23161,2/09/1981 0:00,158.5,22,WP
1981247N16300,3/09/1981 6:00,-60.3,16.2,NA
1981256N10150,14/09/1981 12:00,141,11.5,WP
1981261N25174,18/09/1981 18:00,168,25,WP
1981265N14328,21/09/1981 18:00,-33.6,13.3,NA
1981266N09151,23/09/1981 18:00,147,10,WP
1981283N07132,12/10/1981 6:00,123.5,11.5,WP
1981286N10150,14/10/1981 6:00,149.4,11.3,WP
1981307N17279,2/11/1981 18:00,-81.2,16.9,NA
1981317N14153,13/11/1981 6:00,150.7,14.7,WP
1981324N08158,21/11/1981 12:00,151.6,12.3,WP
1981343N05150,9/12/1981 18:00,148,8,WP
1981351S12060,17/12/1981 12:00,57.9,-11.4,SI
1982024S18166,24/01/1982 0:00,166.1,-18.2,SP
1982030S15065,31/01/1982 18:00,57.2,-16.3,SI
1982036S16060,4/02/1982 18:00,55.7,-18.4,SI
1982058S10185,27/02/1982 0:00,-175,-9.8,SP
1982077N04161,17/03/1982 18:00,161,4,WP
1982087N04157,28/03/1982 0:00,153,-1.1,WP
1982131S09157,15/05/1982 0:00,157,-14.1,SP
1982136N08140,16/05/1982 12:00,137,10,WP
1982140N11255,20/05/1982 6:00,-105.2,11.2,EP
1982169N09149,19/06/1982 18:00,140.1,9.5,WP
1982176N18114,26/06/1982 18:00,115,17,WP
1982179N19128,28/06/1982 0:00,133,19.7,WP
1982188N09262,6/07/1982 6:00,-100.8,9.6,EP
1982190N09148,12/07/1982 12:00,132.6,11.8,WP
1982199N11257,16/07/1982 12:00,-99.5,14.7,EP
1982202N11165,21/07/1982 18:00,165,11,WP
1982202N12148,20/07/1982 18:00,139,6,WP
