name,date_for_local_environment,lon,lat,basin
1979031S12056,3/02/1979 12:00,59.5,-21,SI
1979041S19051,10/02/1979 6:00,51.3,-19,SI
1979077N07150,19/03/1979 0:00,144.8,8.4,WP
1979126N04148,11/05/1979 0:00,125.9,9.2,WP
1979137N19116,21/05/1979 6:00,114.8,19.1,WP
1979171N10315,20/06/1979 0:00,-47,10.5,NA
1979174N07143,29/06/1979 6:00,136.2,13.8,WP
1979180N03155,1/07/1979 0:00,151,6,WP
1979197N13314,15/07/1979 12:00,-46.3,12.5,NA
1979205N10148,27/07/1979 0:00,139.7,13,WP
1979219N15138,7/08/1979 0:00,138,15,WP
1979242N22143,31/08/1979 12:00,135.8,25,WP
1979243N19154,2/09/1979 0:00,151.4,21.5,WP
1979248N16339,4/09/1979 12:00,-21,15.5,NA
1979254N10140,14/09/1979 6:00,134.8,12,WP
1979258N10120,17/09/1979 12:00,114.8,15.5,WP
1979262N15149,21/09/1979 6:00,140,12,WP
1979271N13113,2/10/1979 18:00,121,15.6,WP
1979275N05159,4/10/1979 6:00,152.9,6.2,WP
1979311N10142,7/11/1979 0:00,142.7,11.3,WP
1980003S15137,7/01/1980 0:00,149.2,-21.6,SP
1980052S16155,26/02/1980 12:00,153.1,-23.6,SP
1980073S09133,13/03/1980 18:00,133.8,-10,SP
1980126N08150,9/05/1980 6:00,138.5,8,WP
1980140N16116,20/05/1980 12:00,114.5,14.5,WP
1980171N06142,22/06/1980 12:00,128.7,10,WP
1980197N07154,16/07/1980 6:00,147.2,9.8,WP
1980200N13249,18/07/1980 12:00,-111.5,13.5,EP
1980201N08155,19/07/1980 18:00,149.6,10.1,WP
1980208N23153,27/07/1980 18:00,148.4,22.6,WP
1980236N15144,23/08/1980 6:00,141.9,16.2,WP
1980245N16322,5/09/1980 0:00,-65.8,26.1,NA
1980246N05151,5/09/1980 0:00,144,11.5,WP
1980254N14112,12/09/1980 0:00,115.3,19,WP
1980269N15147,25/09/1980 18:00,145.2,15.7,WP
1980270N13165,26/09/1980 18:00,161,12,WP
1980282N19162,11/10/1980 6:00,150.1,22.1,WP
1980300N08137,28/10/1980 0:00,128,10.9,WP
1980313N14277,7/11/1980 12:00,-82.6,13.6,NA
1981039S09178,8/02/1981 12:00,176,-10,SP
1981047S18181,17/02/1981 0:00,-173,-20.4,SP
1981056S14141,2/03/1981 0:00,157.6,-21,SP
1981077S13198,17/03/1981 12:00,-161.8,-13.3,SP
1981086S16183,28/03/1981 0:00,-176.7,-17.9,SP
1981166N11135,15/06/1981 12:00,132,12,WP
1981176N08150,28/06/1981 12:00,135.5,13.5,WP
1981207N22150,26/07/1981 6:00,148.5,22,WP
1981214N13113,3/08/1981 0:00,115,15,WP
1981226N16119,16/08/1981 18:00,114,17.5,WP
