name,date_for_local_environment,lon,lat
   1982055S09156,24/02/1982 18:00,155.6,-9
   1982056S11119,26/02/1982 0:00,119.4,-13.2
   1982056S12139,25/02/1982 6:00,139.7,-11.1
   1982056S11050,28/02/1982 0:00,43.9,-20.2
   1982057S04238,26/02/1982 12:00,-124.2,-6.1
   1982057S02171,27/02/1982 6:00,169.5,-2.9
   1982057S10154,27/02/1982 0:00,153.9,-8.8
   1982058S09136,28/02/1982 0:00,134.4,-10.5
   1982059S06180,28/02/1982 6:00,177.2,-4.9
   1982059S06148,28/02/1982 12:00,146.8,-5.1
   1982059S07186,1/03/1982 0:00,-174.5,-5.9
   1982059S03169,28/02/1982 6:00,168.5,-3
   1982059S04119,1/03/1982 0:00,114.4,-4.6
   1982060S04166,1/03/1982 18:00,165.1,-4.1
   1982061S16138,3/03/1982 12:00,140.5,-15.4
   1982061S06177,3/03/1982 0:00,177.8,-5.7
   1982062S01163,5/03/1982 6:00,173.3,-6.4
   1982063S02153,4/03/1982 18:00,157.8,-4.1
   1982063S04150,4/03/1982 18:00,150.3,-4.4
   1982064S12173,7/03/1982 0:00,168.1,-6.2
   1982065S16043,7/03/1982 18:00,42.8,-15.5
   1982066S09174,9/03/1982 0:00,175.5,-19.3
   1982067S00164,9/03/1982 6:00,160.1,-4.4
   1982068S20166,10/03/1982 12:00,170.8,-11.4
   1982069S08156,10/03/1982 18:00,161.1,-6.7
   1982069S06138,11/03/1982 0:00,135.3,-6.6
   1982070S04146,12/03/1982 0:00,143.6,-0.9
   1982070S21201,11/03/1982 18:00,-157.4,-26.8
   1982070S10176,11/03/1982 18:00,179.3,-10.7
   1982072S10143,14/03/1982 0:00,144,-10.4
   1982073S10096,14/03/1982 18:00,95.1,-12.1
   1982074S21177,15/03/1982 18:00,-174.4,-20.4
   1982074S02141,16/03/1982 6:00,140.2,-1.7
   1982075S08150,16/03/1982 12:00,150.2,-4.1
   1982075S12141,16/03/1982 12:00,141.3,-11.8
   1982075S10172,17/03/1982 12:00,169.8,-6.6
   1982076S08161,18/03/1982 12:00,161.5,-4.7
   1982076S14174,17/03/1982 18:00,171.6,-12.5
   1982076S04183,18/03/1982 0:00,-179,-2
   1982076S09246,18/03/1982 12:00,-112.3,-4.2
   1982077S20179,21/03/1982 0:00,165.5,-14.6
   1982078S07156,20/03/1982 0:00,157.1,-5.2
   1982078S18175,20/03/1982 0:00,174.3,-18.4
   1982080S13167,22/03/1982 18:00,167,-16.9
   1982080S20182,22/03/1982 12:00,-178.5,-20.3
   1982081S07257,23/03/1982 0:00,-109.7,-6.3
   1982081S05180,23/03/1982 6:00,179.2,-7.4
   1982082S02164,24/03/1982 0:00,165.5,-0.1
   1982082S15125,24/03/1982 12:00,123.5,-17.2
   1982084S27226,26/03/1982 18:00,-132.1,-23.7
   1982084S20166,26/03/1982 6:00,168.5,-20.3
   1982086S03121,28/03/1982 0:00,116.6,-2.3
   1982086S05201,28/03/1982 0:00,-160.4,-4.9
   1982087S07180,29/03/1982 0:00,169.9,-5.3
   1982087S01139,29/03/1982 0:00,135.9,-1.4
   1982087S11187,29/03/1982 12:00,-170.6,-9.3
   1982088S12174,29/03/1982 18:00,167.5,-12
   1982088S13186,31/03/1982 18:00,-172.4,-6.1
   1982090S07153,1/04/1982 0:00,156.2,-14.9
   1982091S02143,2/04/1982 0:00,144.9,-3.3
